id,date,price
7129300520,2014-10-13,274211.8408311175
6414100192,2014-12-09,628721.3526465343
5631500400,2015-02-25,411535.26876692136
2487200875,2014-12-09,411833.4405648655
1954400510,2015-02-18,413827.4576291447
7237550310,2014-05-12,1859223.567254966
1321400060,2014-06-27,280556.2427923936
2008000270,2015-01-15,241322.33087246068
2414600126,2015-04-15,318921.4174580209
3793500160,2015-03-12,293666.5531320188
1736800520,2015-04-03,666997.8928108101
9212900260,2014-05-27,415888.52510666347
114101516,2014-05-28,560349.0568295204
6054650070,2014-10-07,351023.1491116051
1175000570,2015-03-12,530083.0980439807
9297300055,2015-01-24,815876.9689146304
1875500060,2014-07-31,464456.3608236289
6865200140,2014-05-29,493602.0570399716
16000397,2014-12-05,272887.32017633965
7983200060,2015-04-24,245418.82248840638
6300500875,2014-05-14,460497.0238440056
2524049179,2014-08-26,990652.9905891342
7137970340,2014-07-03,334330.1573458397
8091400200,2014-05-16,218829.6627761609
3814700200,2014-11-20,422899.25892521266
1202000200,2014-11-03,272920.57118343376
1794500383,2014-06-26,667656.4945264588
3303700376,2014-12-01,591102.1309510721
5101402488,2014-06-24,432232.34555552347
1873100390,2015-03-02,613075.4888272284
8562750320,2014-11-10,478265.9948923464
2426039314,2014-12-01,400947.4754685721
461000390,2014-06-24,561648.4313191489
7589200193,2014-11-10,531611.6422445191
7955080270,2014-12-03,322053.2652281574
9547205180,2014-06-13,705181.4647281321
9435300030,2014-05-28,290486.2454603988
2768000400,2014-12-30,766271.6345152663
7895500070,2015-02-13,212540.90160422193
2078500320,2014-06-20,500498.3227847343
5547700270,2014-07-15,615124.8093081239
7766200013,2014-08-11,510339.8844705892
7203220400,2014-07-07,846846.196003265
9270200160,2014-10-28,455452.52645463933
1432701230,2014-07-29,245088.4258737158
8035350320,2014-07-18,748043.4147765854
8945200830,2015-03-25,182732.10917950282
4178300310,2014-07-16,734580.1891062303
9215400105,2015-04-28,402131.3499477666
822039084,2015-03-11,1088028.2535725243
5245600105,2014-09-16,247506.2266213708
7231300125,2015-02-17,534541.0121226278
7518505990,2014-12-31,439895.4617327208
3626039271,2015-02-05,422687.54864429554
4217401195,2015-03-03,722896.9967220029
9822700295,2014-05-12,674108.3244087605
9478500640,2014-08-19,298482.2177647354
2799800710,2015-04-07,384221.765483294
7922800400,2014-08-27,976480.8120139724
8079040320,2015-02-23,439390.83844698325
1516000055,2014-12-10,523877.92279500404
9558200045,2014-08-28,271545.87718618615
5072410070,2014-10-21,489152.4185045613
9528102996,2014-12-07,457740.8758774728
1189001180,2014-06-03,359345.3864509213
3253500160,2014-11-20,589854.248546679
3394100030,2014-09-09,802119.6971641162
3717000160,2014-10-09,302420.40094813454
1274500060,2014-08-25,228590.1302941478
1802000060,2014-06-12,711960.5437950728
1525059190,2014-09-12,1669355.1986987004
1049000060,2015-01-05,455246.37406693166
8820901275,2014-06-10,701573.3368585159
5416510140,2014-07-10,359104.1689990831
3444100400,2015-03-16,316039.9045952572
3276920270,2014-11-05,1053898.0130953423
4036801170,2014-10-13,399975.6629038299
2391600320,2015-04-20,309246.5160613459
6300000287,2014-06-09,407061.8469202642
1531000030,2015-03-23,630510.7381607371
5104520400,2014-12-02,356063.2901845935
7437100340,2014-12-22,280333.72007177875
9418400240,2014-10-28,369557.58287995035
1523059105,2015-01-28,368745.13539153023
1133000671,2014-06-02,329837.2335247357
4232902595,2014-11-14,716635.8754410314
2599001200,2014-11-03,329835.2045125223
3342103156,2014-06-18,578820.0409336297
1332700270,2014-05-19,390128.10015636036
3869900162,2014-09-04,274622.46404708526
2791500270,2014-05-22,283851.02143973205
5036300431,2015-03-11,910662.9304085288
4168000060,2015-02-26,230350.55241516346
6021501535,2014-07-25,516699.2283797958
6021501535,2014-12-23,516699.2283797958
1483300570,2014-09-08,589881.5116938972
3422049190,2015-03-30,286385.47408186615
1099611230,2014-09-12,229223.37109663428
722079104,2014-07-11,309057.05645469663
7338200240,2014-05-16,572508.990248445
